Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Ratings","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ1R0V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P1.0ETR-ND,P1.0ECT-ND,P1.0EDKR-ND","ERJ-8GEYJ1R0V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1 OHM 5% 1/4W 1206","43,003","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","1 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ1R1V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P1.1ETR-ND,P1.1ECT-ND,P1.1EDKR-ND","ERJ-8GEYJ1R1V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.1 OHM 5% 1/4W 1206","5,704","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","1.1 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ1R2V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P1.2ETR-ND,P1.2ECT-ND,P1.2EDKR-ND","ERJ-8GEYJ1R2V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.2 OHM 5% 1/4W 1206","6,434","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","1.2 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ1R3V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P1.3ETR-ND,P1.3ECT-ND,P1.3EDKR-ND","ERJ-8GEYJ1R3V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.3 OHM 5% 1/4W 1206","54,661","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","1.3 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ1R5V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P1.5ETR-ND,P1.5ECT-ND,P1.5EDKR-ND","ERJ-8GEYJ1R5V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.5 OHM 5% 1/4W 1206","32,005","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","1.5 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ1R6V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P1.6ETR-ND,P1.6ECT-ND,P1.6EDKR-ND","ERJ-8GEYJ1R6V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.6 OHM 5% 1/4W 1206","25,363","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","1.6 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ1R8V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P1.8ETR-ND,P1.8ECT-ND,P1.8EDKR-ND","ERJ-8GEYJ1R8V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.8 OHM 5% 1/4W 1206","911","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","1.8 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ2R0V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P2.0ETR-ND,P2.0ECT-ND,P2.0EDKR-ND","ERJ-8GEYJ2R0V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2 OHM 5% 1/4W 1206","0","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","2 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ2R2V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P2.2ETR-ND,P2.2ECT-ND,P2.2EDKR-ND","ERJ-8GEYJ2R2V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.2 OHM 5% 1/4W 1206","41","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","2.2 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
"https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ8GEYJ2R4V","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-1206%20Pkg.jpg","P2.4ETR-ND,P2.4ECT-ND,P2.4EDKR-ND","ERJ-8GEYJ2R4V","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.4 OHM 5% 1/4W 1206","75,187","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-8G","Active","2.4 Ohms","±5%","0.25W, 1/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","AEC-Q200","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2","-"
