Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Ratings","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ1R0YTR-ND,10-ERJ-XGNJ1R0YCT-ND,10-ERJ-XGNJ1R0YDKR-ND","ERJ-XGNJ1R0Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.0 OHM 5% 1/32W 01005","16,604","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-XGN","Active","1 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ1R1YTR-ND","ERJ-XGNJ1R1Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.1 OHM 5% 1/32W 01005","0","0.021","0","20000","Tape & Reel (TR)","ERJ-XGN","Active","1.1 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ1R2YTR-ND,10-ERJ-XGNJ1R2YCT-ND,10-ERJ-XGNJ1R2YDKR-ND","ERJ-XGNJ1R2Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.2 OHM 5% 1/32W 01005","19,980","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-XGN","Active","1.2 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ1R3YTR-ND","ERJ-XGNJ1R3Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.3 OHM 5% 1/32W 01005","0","0.021","0","20000","Tape & Reel (TR)","ERJ-XGN","Active","1.3 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ1R5YTR-ND,10-ERJ-XGNJ1R5YCT-ND,10-ERJ-XGNJ1R5YDKR-ND","ERJ-XGNJ1R5Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.5 OHM 5% 1/32W 01005","19,980","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-XGN","Active","1.5 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R6Y.jpg","10-ERJ-XGNJ1R6YTR-ND","ERJ-XGNJ1R6Y","Panasonic Electronic Components","Panasonic Electronic Components","RES 1.6 OHM 5% 1/32W 01005","0","0.021","0","20000","Tape & Reel (TR)","ERJ-XGN","Active","1.6 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ1R8YTR-ND,10-ERJ-XGNJ1R8YCT-ND,10-ERJ-XGNJ1R8YDKR-ND","ERJ-XGNJ1R8Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.8 OHM 5% 1/32W 01005","19,980","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-XGN","Active","1.8 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ2R0YTR-ND","ERJ-XGNJ2R0Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.0 OHM 5% 1/32W 01005","0","0.021","0","20000","Tape & Reel (TR)","ERJ-XGN","Active","2 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ2R2YTR-ND,10-ERJ-XGNJ2R2YCT-ND,10-ERJ-XGNJ2R2YDKR-ND","ERJ-XGNJ2R2Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.2 OHM 5% 1/32W 01005","19,900","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-XGN","Active","2.2 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic Photos/MFG_ERJ-XGNJ1R0Y.jpg","10-ERJ-XGNJ2R4YTR-ND","ERJ-XGNJ2R4Y","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.4 OHM 5% 1/32W 01005","0","0.021","0","20000","Tape & Reel (TR)","ERJ-XGN","Active","2.4 Ohms","±5%","0.03W, 1/32W","Thick Film","-","-100/ +600ppm/°C","-55°C ~ 125°C","01005 (0402 Metric)","01005","-","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","0.006"" (0.15mm)","2","-"
