Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"-","//media.digikey.com/Renders/TDK%20Renders/1210%20(3225%20Metric)%202.5.jpg","445-175253-2-ND,445-175253-1-ND,445-175253-6-ND","CGA6P1X8R1E106M250AE","TDK Corporation","TDK Corporation","CAP CER 10UF 25V X8R 1210","0","3.03","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","10 µF","±20%","25V","X8R","-55°C ~ 150°C","Soft Termination, High Temperature","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"https://product.tdk.com.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_zh.pdf","//media.digikey.com/Renders/TDK%20Renders/1210%20(3225%20Metric)%202.5.jpg","445-CGA6P3X8R1C106M250AETR-ND","CGA6P3X8R1C106M250AE","TDK Corporation","TDK Corporation","MLCC,1210,X8R,16V,10ΜF,2.5MM","0","1.14761","0","1000","Tape & Reel (TR)","CGA","Active","10 µF","±20%","16V","X8R","-55°C ~ 150°C","Soft Termination, High Temperature","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","445-175244-2-ND,445-175244-1-ND,445-175244-6-ND","CGA5L1X8R1E475M160AE","TDK Corporation","TDK Corporation","CAP CER 4.7UF 25V X8R 1206","0","0.82","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","4.7 µF","±20%","25V","X8R","-55°C ~ 150°C","Soft Termination, High Temperature","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","CGA5L3X8R1C475M160AE-ND","CGA5L3X8R1C475M160AE","TDK Corporation","TDK Corporation","CAP CER 4.7UF 16V X8R 1206","0","0.28446","0","2000","Tape & Reel (TR)","CGA","Active","4.7 µF","±20%","16V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/1210%20(3225%20Metric)%202.5.jpg","CGA6P3X8R1E475M250AE-ND","CGA6P3X8R1E475M250AE","TDK Corporation","TDK Corporation","CAP CER 4.7UF 25V X8R 1210","0","0.92169","0","1000","Tape & Reel (TR)","CGA","Active","4.7 µF","±20%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"-","//media.digikey.com/photos/TDK%20Photos/MFG_CGA6P2X8R1E335M250AE.jpg","445-CGA6P2X8R1E335M250AETR-ND,445-CGA6P2X8R1E335M250AECT-ND,445-CGA6P2X8R1E335M250AEDKR-ND","CGA6P2X8R1E335M250AE","TDK Corporation","TDK Corporation","CAP CER 3.3UF 25V X8R 1210","1,990","1.81","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","3.3 µF","±20%","25V","X8R","-55°C ~ 150°C","Soft Termination, High Temperature","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","CGA5L3X8R1C335M160AE-ND","CGA5L3X8R1C335M160AE","TDK Corporation","TDK Corporation","CAP CER 3.3UF 16V X8R 1206","0","0.28949","0","2000","Tape & Reel (TR)","CGA","Active","3.3 µF","±20%","16V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","CGA5L3X8R1E225M160AE-ND","CGA5L3X8R1E225M160AE","TDK Corporation","TDK Corporation","CAP CER 2.2UF 25V X8R 1206","0","0.23513","0","2000","Tape & Reel (TR)","CGA","Active","2.2 µF","±20%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","CGA5L3X8R1E155M160AE-ND","CGA5L3X8R1E155M160AE","TDK Corporation","TDK Corporation","CAP CER 1.5UF 25V X8R 1206","0","0.2475","0","2000","Tape & Reel (TR)","CGA","Active","1.5 µF","±20%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","445-175241-2-ND,445-175241-1-ND,445-175241-6-ND","CGA4J1X8R1E105M125AE","TDK Corporation","TDK Corporation","CAP CER 1UF 25V X8R 0805","4","0.51","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","1 µF","±20%","25V","X8R","-55°C ~ 150°C","Soft Termination, High Temperature","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
