Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Ratings","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P1.0WTR-ND,P1.0WCT-ND,P1.0WDKR-ND","ERJ-12ZYJ1R0U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1 OHM 5% 3/4W 2010","27,846","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","1 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P1.1WTR-ND,P1.1WCT-ND,P1.1WDKR-ND","ERJ-12ZYJ1R1U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.1 OHM 5% 3/4W 2010","2,840","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","1.1 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P1.2WTR-ND,P1.2WCT-ND,P1.2WDKR-ND","ERJ-12ZYJ1R2U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.2 OHM 5% 3/4W 2010","848","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","1.2 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P1.3WTR-ND,P1.3WCT-ND,P1.3WDKR-ND","ERJ-12ZYJ1R3U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.3 OHM 5% 3/4W 2010","10,000","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","1.3 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P1.5WTR-ND,P1.5WCT-ND,P1.5WDKR-ND","ERJ-12ZYJ1R5U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.5 OHM 5% 3/4W 2010","5,250","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","1.5 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P1.6WTR-ND,P1.6WCT-ND,P1.6WDKR-ND","ERJ-12ZYJ1R6U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.6 OHM 5% 3/4W 2010","12,595","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","1.6 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P1.8WTR-ND,P1.8WCT-ND,P1.8WDKR-ND","ERJ-12ZYJ1R8U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.8 OHM 5% 3/4W 2010","5,900","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","1.8 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P2.0WTR-ND,P2.0WCT-ND,P2.0WDKR-ND","ERJ-12ZYJ2R0U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2 OHM 5% 3/4W 2010","8,899","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","2 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P2.2WTR-ND,P2.2WCT-ND,P2.2WDKR-ND","ERJ-12ZYJ2R2U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.2 OHM 5% 3/4W 2010","174","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","2.2 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2010%20Pkg.jpg","P2.4WTR-ND,P2.4WCT-ND,P2.4WDKR-ND","ERJ-12ZYJ2R4U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.4 OHM 5% 3/4W 2010","430","0.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-12Z","Active","2.4 Ohms","±5%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","AEC-Q200","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-"
