Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Ratings","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123262TR-ND,P123262CT-ND,P123262DKR-ND","ERJ-1GNJ1R0C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1 OHM 5% 1/20W 0201","102,797","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","1 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123263TR-ND,P123263CT-ND,P123263DKR-ND","ERJ-1GNJ1R1C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.1 OHM 5% 1/20W 0201","6,250","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","1.1 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123264TR-ND,P123264CT-ND,P123264DKR-ND","ERJ-1GNJ1R2C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.2 OHM 5% 1/20W 0201","53,450","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","1.2 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123265TR-ND,P123265CT-ND,P123265DKR-ND","ERJ-1GNJ1R3C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.3 OHM 5% 1/20W 0201","29,671","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","1.3 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123266TR-ND,P123266CT-ND,P123266DKR-ND","ERJ-1GNJ1R5C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.5 OHM 5% 1/20W 0201","136,798","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","1.5 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123267TR-ND,P123267CT-ND,P123267DKR-ND","ERJ-1GNJ1R6C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.6 OHM 5% 1/20W 0201","80,280","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","1.6 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123268TR-ND,P123268CT-ND,P123268DKR-ND","ERJ-1GNJ1R8C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.8 OHM 5% 1/20W 0201","39,149","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","1.8 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123293TR-ND,P123293CT-ND,P123293DKR-ND","ERJ-1GNJ2R0C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2 OHM 5% 1/20W 0201","155,573","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","2 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123294TR-ND,P123294CT-ND,P123294DKR-ND","ERJ-1GNJ2R2C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.2 OHM 5% 1/20W 0201","89,527","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","2.2 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-0201%20Pkg.jpg","P123295TR-ND,P123295CT-ND,P123295DKR-ND","ERJ-1GNJ2R4C","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.4 OHM 5% 1/20W 0201","59,349","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1GN","Active","2.4 Ohms","±5%","0.05W, 1/20W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 125°C","0201 (0603 Metric)","AEC-Q200","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.010"" (0.26mm)","2","-"
